
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34149.800000 2047   22 18 07.67918  114 11 25.43096        2.875        0.000        0.000     0.004     0.009    -0.004 3     -1.99160    0.57390  138.17180
 34149.900000 2047   22 18 07.67919  114 11 25.43097        2.876        0.000        0.000    -0.003    -0.001    -0.004 3     -1.99860    0.57750  138.17280
 34150.000000 2047   22 18 07.67920  114 11 25.43097        2.876        0.000        0.000     0.004     0.008    -0.004 3     -1.99480    0.57280  138.17110
 34150.050000 2047   22 18 07.67920  114 11 25.43097        2.876        0.000        0.000     0.005     0.008    -0.017 3     -1.99970    0.57300  138.17040
 34150.100000 2047   22 18 07.67921  114 11 25.43097        2.876        0.000        0.000     0.000    -0.001    -0.006 3     -2.00130    0.57010  138.17130
 34150.150000 2047   22 18 07.67921  114 11 25.43097        2.877        0.000        0.000     0.002    -0.003     0.009 3     -1.99580    0.57020  138.16940
 34150.200000 2047   22 18 07.67921  114 11 25.43097        2.877        0.000        0.000     0.009     0.005     0.000 3     -1.99310    0.57050  138.16900
 34150.250000 2047   22 18 07.67922  114 11 25.43097        2.877        0.000        0.000     0.007     0.008    -0.014 3     -1.99850    0.56830  138.16970
 34150.300000 2047   22 18 07.67922  114 11 25.43098        2.877        0.000        0.000    -0.002     0.001    -0.007 3     -2.00250    0.57180  138.17030
 34150.350000 2047   22 18 07.67923  114 11 25.43098        2.877        0.000        0.000    -0.003     0.000     0.007 3     -1.99910    0.57210  138.16920
 34150.400000 2047   22 18 07.67923  114 11 25.43098        2.877        0.000        0.000     0.005     0.004     0.001 3     -1.99670    0.56730  138.16910
 34150.450000 2047   22 18 07.67923  114 11 25.43098        2.877        0.000        0.000     0.008     0.005    -0.014 3     -1.99700    0.56880  138.16990
 34150.500000 2047   22 18 07.67924  114 11 25.43098        2.877        0.000        0.000     0.002     0.001    -0.010 3     -1.99950    0.57050  138.17040
 34150.550000 2047   22 18 07.67924  114 11 25.43098        2.877        0.000        0.000    -0.001    -0.001     0.005 3     -2.00070    0.56910  138.16970
 34150.600000 2047   22 18 07.67925  114 11 25.43099        2.878        0.000        0.000     0.007     0.004     0.004 3     -1.99860    0.56900  138.16900
 34150.650000 2047   22 18 07.67925  114 11 25.43099        2.878        0.000        0.000     0.009     0.008    -0.011 3     -1.99750    0.57010  138.16930
 34150.700000 2047   22 18 07.67925  114 11 25.43099        2.878        0.000        0.000     0.004     0.002    -0.012 3     -1.99970    0.57010  138.16960
 34150.750000 2047   22 18 07.67926  114 11 25.43099        2.878        0.000        0.000     0.000    -0.003     0.003 3     -1.99830    0.57210  138.16900
 34150.800000 2047   22 18 07.67926  114 11 25.43100        2.878        0.000        0.000     0.006     0.004     0.005 3     -1.99450    0.57040  138.16900
